Item	Word	Semantic_Output	Error_Score	Correct
1	a	a	0.0009	1
2	ace	nought	3.0233	0
3	ache	ache	0.2392	1
4	ached	ached	1.4055	1
5	aches	aches	1.0348	1
6	act	act	0.0077	1
7	acts	acts	0.0106	1
8	ad	ad	0.0002	1
9	add	add	0.2312	1
10	adds	adds	0.0125	1
11	ads	ads	0.0069	1
12	adze	adze	1.0347	1
13	aft	aft	1.452	1
14	age	age	0.0602	1
15	aid	aid	0.0002	1
16	aide	aide	0.2513	1
17	aides	aides	0.0008	1
18	aids	aids	0	1
19	ail	ail	0.6474	1
20	ailed	ailed	1.0341	1
21	ails	ails	0.035	1
22	aim	aim	0.000600000000000001	1
23	aimed	aimed	0.0015	1
24	aims	aims	0.0012	1
25	air	air	0.0014	1
26	airs	airs	0.0567	1
27	aisle	aisle	0.1454	1
28	aisles	aisles	0.2068	1
29	ale	ale	0.0258	1
30	ales	ales	0.3677	1
31	all	all	0	1
32	alms	palms	6.2728	0
33	alp	alp	0.0024	1
34	alps	alps	0.0012	1
35	am	am	0.0026	1
36	amp	bay	5.68669999999999	0
37	an	an	0.0009	1
38	and	and	0	1
39	angst	angst	0.0107	1
40	ant	ant	0.0026	1
41	ants	ants	0.0003	1
42	ape	ape	0.0028	1
43	apes	apes	0.0008	1
44	apse	apse	4.6401	1
45	apt	apt	0.0196	1
46	arc	arc	0.0046	1
47	arch	arch	0.3285	1
48	arcs	arcs	0.4459	1
49	are	are	0.0004	1
50	ares	clones	7.6732	0
51	ark	ark	0.787	1
52	arks	arks	0.806	1
53	arm	arm	0	1
54	arms	arms	0.0001	1
55	arse	arse	2.3694	1
56	art	art	0.000900000000000002	1
57	arts	arts	0.0004	1
58	as	as	0	1
59	ash	ash	2.1863	1
60	ask	ask	0.0001	1
61	asked	asked	0.0001	1
62	asks	asks	0.0038	1
63	asp	snake	1.1167	0
64	asps	snakes	1.4374	0
65	ass	ass	1.9307	1
66	at	at	0.0004	1
67	ate	eat	0.2631	0
68	aught	aught	0.5156	1
69	aunt	aunt	0.03	1
70	aunts	aunts	0.2658	1
71	awe	awe	0.0002	1
72	awes	awes	0.0016	1
73	awl	awl	2.4823	1
74	awls	awls	1.8545	1
75	awn	awn	0.0028	1
76	awns	awns	0.0086	1
77	ax	ax	0.0148	1
78	axe	axe	0.2535	1
79	aye	aye	1.9877	1
80	babe	babe	0.0308	1
81	babes	babe	0.8857	0
82	back	back	0.0364	1
83	bad	bad	0.0002	1
84	badge	badge	0.0487	1
85	bag	bag	0.0005	1
86	bags	bags	0.0004	1
87	bail	tun	7.0804	0
88	bails	bails	1.4933	1
89	bait	bait	0.2272	1
90	baits	baits	0.0073	1
91	baize	chock	2.7625	0
92	bake	bake	0.0231	1
93	baked	baked	0.5477	1
94	bakes	bakes	0.0026	1
95	bald	bald	0.0309	1
96	bale	bale	0.0383	1
97	bales	bales	0.0103	1
98	balk	balk	1.3	1
99	balked	balked	0.1479	1
100	balks	balks	1.7384	1
101	ball	ball	0.0002	1
102	balls	balls	0.0018	1
103	balm	balm	0.0197	1
104	balms	balms	0.1259	1
105	ban	ban	0.0452	1
106	band	band	0.003	1
107	bands	bands	0.0009	1
108	bane	bane	0.1477	1
109	banes	banes	1.0168	1
110	bang	bang	0.0341	1
111	banged	banged	0.0058	1
112	bangs	bang	0.7744	0
113	bank	bank	0.0001	1
114	banks	banks	0.0002	1
115	bans	bans	0.0215	1
116	bar	bar	0.1054	1
117	barb	barb	0.0034	1
118	barbs	barbs	0.0165	1
119	bard	bard	0.1674	1
120	bards	bards	0.0564	1
121	bare	bare	0.1502	1
122	barge	barge	0.0298	1
123	bark	bark	0.0518	1
124	barked	barked	0.0747	1
125	barks	barks	0.4312	1
126	barm	barm	5.0274	1
127	barn	barn	0.0085	1
128	barns	barns	0.0288	1
129	bars	bars	0.00440000000000001	1
130	base	base	0.0365	1
131	based	based	0.0226	1
132	bash	bash	0.8949	1
133	bask	bask	1.4345	1
134	basked	basked	0.0049	1
135	basks	basks	1.3372	1
136	bass	bass	0.1147	1
137	bass	bass	0.6234	1
138	bast	bast	4.1856	1
139	baste	baste	1.8866	1
140	bastes	baste	2.2715	0
141	bat	bat	0.0325	1
142	batch	batch	0.0002	1
143	bate	bin	8.4723	0
144	bath	bath	0.0011	1
145	bathe	bathe	0.2194	1
146	bathed	bathed	0.0103	1
147	bathes	bathe	1.0448	0
148	baths	baths	0.0014	1
