Item	Word	Semantic_Output	Error_Score	Correct
1	a	a	0.0001	1
4	ached	ached	0.0004	1
5	aches	aches	0.0001	1
9	add	add	0	1
10	adds	adds	0	1
15	aid	aid	0	1
17	aides	aides	0.0224	1
20	ailed	ailed	0.0007	1
21	ails	ails	0.0207	1
23	aimed	aimed	0	1
25	air	air	0	1
27	aisle	aisle	0.0031	1
29	ale	ale	0.0002	1
30	ales	ales	0.1186	1
32	alms	alms	0.6066	1
37	an	an	0.0016	1
38	and	and	0	1
41	ants	ants	0	1
42	ape	ape	0.0001	1
43	apes	apes	0.0005	1
45	apt	apt	0	1
47	arch	arch	0.3138	1
50	ares	ares	0.0392	1
51	ark	ark	0.000800000000000001	1
52	arks	arks	0.0034	1
59	ash	ash	0.2738	1
60	ask	ask	0	1
61	asked	asked	0	1
64	asps	asps	0.002	1
65	ass	ass	0	1
66	at	at	0.0017	1
72	awes	awes	0.00430000000000001	1
73	awl	awl	0.0025	1
79	aye	aye	0.0001	1
80	babe	babe	0.0017	1
81	babes	babes	0.0012	1
84	badge	badge	0.0004	1
85	bag	bag	0	1
86	bags	bags	0	1
90	baits	baits	0.3219	1
94	bakes	bakes	0.0003	1
96	bale	bale	0.0016	1
97	bales	bales	0.0011	1
103	balm	balm	0.0013	1
104	balms	balms	0.0028	1
109	banes	banes	0.0658	1
112	bangs	bangs	0	1
113	bank	bank	0	1
114	banks	banks	0	1
115	bans	bans	0.9424	1
116	bar	bar	0	1
117	barb	barb	0.002	1
119	bard	bard	0.1084	1
121	bare	bare	0.0002	1
122	barge	barge	0.0003	1
123	bark	bark	0.0001	1
126	barm	barm	0.0189	1
128	barns	barns	0.0005	1
129	bars	bars	0	1
130	base	base	0	1
132	bash	bash	0.0016	1
133	bask	bask	0.0144	1
135	basks	basks	0.0104	1
139	baste	baste	0.002	1
140	bastes	bastes	0.0028	1
143	bate	bate	1.3454	1
148	baths	baths	0	1
150	bawl	bawl	0.0003	1
153	bay	bay	0.0001	1
157	bead	bead	0.0066	1
160	beaks	beaks	0.0005	1
167	beards	beards	0.0006	1
169	beast	beast	0.4352	1
172	beat	beat	0	1
173	beats	beats	0.00489999999999999	1
175	beaus	beaus	0.0396	1
176	beck	beck	0.1424	1
179	beds	beds	0	1
180	bee	bee	0.0002	1
183	beefs	beefs	0.0051	1
185	beeps	beeps	0.0349	1
186	beer	beer	0.0133	1
188	bees	bees	0.0001	1
